,tail_num,manufacturer,model
2083,N8944B,BOMBARDIER INC,CL-600-2B19
2084,N8698A,BOMBARDIER INC,CL-600-2B19
2085,N589AA,MCDONNELL DOUGLAS,DC-9-83(MD-83)
2086,N592AA,MCDONNELL DOUGLAS,DC-9-83(MD-83)
2087,N551AA,LEBLANC GLENN T,FALCON XP
2088,N558AA,MCDONNELL DOUGLAS,DC-9-82(MD-82)
2089,N645JB,AIRBUS,A320-232
2090,N606JB,AIRBUS,A320-232
2091,N10156,EMBRAER,EMB-145XR
2092,N13949,EMBRAER,EMB-145LR
2093,N11113,EMBRAER,EMB-145XR
2094,N840MQ,CANADAIR LTD,CF-5D
2095,N453SW,BOMBARDIER INC,CL-600-2B19
2096,N455CA,BOMBARDIER INC,CL-600-2B19
2097,N463SW,BOMBARDIER INC,CL-600-2B19
2098,N459SW,BOMBARDIER INC,CL-600-2B19
2099,N413SW,CANADAIR,CL-600-2B19
2100,N14107,BOEING,757-224
2101,N563UA,BOEING,757-222
2102,N207UW,BOEING,757-28A
2103,N507MJ,BOMBARDIER INC,CL-600-2C10
2104,N506MJ,BOMBARDIER INC,CL-600-2C10
2105,N511MJ,BOMBARDIER INC,CL-600-2C10
2106,N508MJ,BOMBARDIER INC,CL-600-2C10
2107,N510MJ,BOMBARDIER INC,CL-600-2C10
2108,N505MJ,BOMBARDIER INC,CL-600-2C10
2109,N509MJ,BOMBARDIER INC,CL-600-2C10
2110,N515MJ,BOMBARDIER INC,CL-600-2C10
2111,N521LR,BOMBARDIER INC,CL-600-2C10
2112,N823AY,BOMBARDIER INC,CL-600-2B19
2113,N813AY,BOMBARDIER INC,CL-600-2B19
2114,N8710A,BOMBARDIER INC,CL-600-2B19
2115,N8886A,BOMBARDIER INC,CL-600-2B19
2116,N583AA,MCDONNELL DOUGLAS,DC-9-82(MD-82)
2117,N183JB,EMBRAER,ERJ 190-100 IGW
2118,N655DL,BOEING,757-232
2119,N232PQ,BOMBARDIER INC,CL-600-2D24
2120,N11106,EMBRAER,EMB-145XR
2121,N909EV,BOMBARDIER INC,CL-600-2B19
2122,N14153,EMBRAER,EMB-145XR
2123,N14959,EMBRAER,EMB-145LR
2124,N518LR,BOMBARDIER INC,CL-600-2C10
2125,N503MJ,BOMBARDIER INC,CL-600-2C10
2126,N522LR,BOMBARDIER INC,CL-600-2C10
2127,N504MJ,BOMBARDIER INC,CL-600-2C10
2128,N501MJ,BOMBARDIER INC,CL-600-2C10
2129,N514MJ,BOMBARDIER INC,CL-600-2C10
2130,N516LR,BOMBARDIER INC,CL-600-2C10
2131,N502MJ,BOMBARDIER INC,CL-600-2C10
2132,N512MJ,BOMBARDIER INC,CL-600-2C10
2133,N513MJ,BOMBARDIER INC,CL-600-2C10
2134,N601LR,BOMBARDIER INC,CL-600-2D24
2135,N604LR,BOMBARDIER INC,CL-600-2D24
2136,N924XJ,BOMBARDIER INC,CL-600-2D24
2137,N922XJ,BOMBARDIER INC,CL-600-2D24
2138,N901XJ,BOMBARDIER INC,CL-600-2D24
2139,N906XJ,BOMBARDIER INC,CL-600-2D24
2140,N905XJ,BOMBARDIER INC,CL-600-2D24
2141,N913XJ,BOMBARDIER INC,CL-600-2D24
2142,N927XJ,BOMBARDIER INC,CL-600-2D24
2143,N933XJ,BOMBARDIER INC,CL-600-2D24
2144,N600LR,BOMBARDIER INC,CL-600-2D24
2145,N8674A,BOMBARDIER INC,CL-600-2B19
2146,N8532G,BOMBARDIER INC,CL-600-2B19
2147,N8930E,BOMBARDIER INC,CL-600-2B19
2148,N8444F,BOMBARDIER INC,CL-600-2B19
2149,N8495B,BOMBARDIER INC,CL-600-2B19
2150,N8604C,BOMBARDIER INC,CL-600-2B19
2151,N986DL,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
2152,N633DL,BOEING,757-232
2153,N6714Q,BOEING,757-232
2154,N718EV,BOMBARDIER INC,CL-600-2C10
2155,N716EV,BOMBARDIER INC,CL-600-2C10
2156,N760EV,BOMBARDIER INC,CL-600-2C10
2157,N371CA,BOMBARDIER INC,CL-600-2C10
2158,N935SW,BOMBARDIER INC,CL-600-2B19
2159,N503UA,BOEING,757-222
2160,N559UA,BOEING,757-222
2161,N567UA,BFD SYSTEMS,GD-40
2162,N573UA,BOEING,767-300
2163,N221UA,BOEING,777-222
2164,N570UA,CESSNA,150H
2165,N561UA,BOEING,757-222
2166,N218UA,BOEING,777-222
2167,N568UA,BOEING,757-222
2168,N565UA,BOEING,757-222
2169,N515UA,BOMBARDIER INC,DHC-8-402
2170,N14106,BOEING,757-224
2171,N122US,AIRBUS INDUSTRIE,A320-214
2172,N928XJ,BOMBARDIER INC,CL-600-2D24
2173,N907XJ,BOMBARDIER INC,CL-600-2D24
2174,N902XJ,BOMBARDIER INC,CL-600-2D24
2175,N605LR,BOMBARDIER INC,CL-600-2D24
2176,N929XJ,BOMBARDIER INC,CL-600-2D24
2177,N877AS,BOMBARDIER INC,CL-600-2B19
2178,N820AS,CANADAIR,CL-600-2B19
2179,N953SW,BOMBARDIER INC,CL-600-2B19
2180,N587UA,BOEING,757-222
2181,N564UA,BOEING,757-222
2182,N56859,BOEING,757-324
2183,N566UA,BOEING,757-222
2184,N519LR,BOMBARDIER INC,CL-600-2C10
2185,N931XJ,BOMBARDIER INC,CL-600-2D24
2186,N841AY,BOMBARDIER INC,CL-600-2B19
2187,N8924B,BOMBARDIER INC,CL-600-2B19
2188,N8948B,BOMBARDIER INC,CL-600-2B19
2189,N936DL,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
2190,N652DL,BOEING,757-232
2191,N952DL,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
2192,N755EV,BOMBARDIER INC,CL-600-2C10
2193,N16151,EMBRAER,EMB-145XR
2194,N432SW,BOMBARDIER INC,CL-600-2B19
2195,N461SW,BOMBARDIER INC,CL-600-2B19
2196,N229UA,BOEING,777-222
2197,N126UW,AIRBUS,A320-214
2198,N105UW,AIRBUS INDUSTRIE,A320-214
2199,N914XJ,BOMBARDIER INC,CL-600-2D24
2200,N925XJ,BOMBARDIER INC,CL-600-2D24
2201,N935XJ,BOMBARDIER INC,CL-600-2D24
2202,N8672A,BOMBARDIER INC,CL-600-2B19
2203,N8907A,BOMBARDIER INC,CL-600-2B19
2204,N8598B,BOMBARDIER INC,CL-600-2B19
2205,N8936A,BOMBARDIER INC,CL-600-2B19
2206,N8977A,BOMBARDIER INC,CL-600-2B19
2207,N839AY,BOMBARDIER INC,CL-600-2B19
2208,N529AS,BOEING,737-890
2209,N587JB,AIRBUS,A320-232
2210,N503JB,AIRBUS INDUSTRIE,A320-232
2211,N994DL,MCDONNELL DOUGLAS CORPORATION,MD-88
2212,N6701,BOEING,757-232
2213,N331NB,AIRBUS INDUSTRIE,A319-114
2214,N720EV,BOMBARDIER INC,CL-600-2C10
2215,N740EV,BOMBARDIER INC,CL-600-2C10
2216,N552UA,BOEING,757-222
2217,N226UA,BOEING,777-222
2218,N219UA,BOEING,777-222
2219,N328NB,AIRBUS INDUSTRIE,A319-114
2220,N934DN,MCDONNELL DOUGLAS,MD-90-30
2221,N668DN,BOEING,757-232
2222,N8587E,BOMBARDIER INC,CL-600-2B19
2223,N8588D,BOMBARDIER INC,CL-600-2B19
2224,N8837B,BOMBARDIER INC,CL-600-2B19
2225,N353JB,EMBRAER,ERJ 190-100 IGW
2226,N598UA,BOEING,757-222
2227,N8918B,BOMBARDIER INC,CL-600-2B19
2228,N8533D,BOMBARDIER INC,CL-600-2B19
2229,N834AY,BOMBARDIER INC,CL-600-2B19
2230,N566JB,AIRBUS,A320-232
2231,N664DN,BOEING,757-232
2232,N785UA,BOEING,777-222
2233,N926XJ,BOMBARDIER INC,CL-600-2D24
2234,N937XJ,BOMBARDIER INC,CL-600-2D24
2235,N579AS,BOEING,737-890
2236,N684DA,BOEING,757-232
2237,N962DN,BOEING,MD-90-30
2238,N661DN,BOEING,757-232
2239,N830AS,CANADAIR,CL-600-2B19
2240,N803AW,AIRBUS INDUSTRIE,A319-132
2241,N916XJ,BOMBARDIER INC,CL-600-2D24
2242,N8971A,BOMBARDIER INC,CL-600-2B19
2243,N830AY,BOMBARDIER INC,CL-600-2B19
2244,N8577D,BOMBARDIER INC,CL-600-2B19
2245,N681DA,BOEING,757-232
2246,N377NW,AIRBUS,A320-211
2247,N974DL,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
2248,N138EV,BOMBARDIER INC,CL-600-2D24
2249,N492SW,CANADAIR,CL-600-2B19
2250,N17126,BOEING,757-224
2251,N904XJ,BOMBARDIER INC,CL-600-2D24
2252,N8580A,BOMBARDIER INC,CL-600-2B19
2253,N8560F,BOMBARDIER INC,CL-600-2B19
2254,N8623A,BOMBARDIER INC,CL-600-2B19
2255,N625JB,AIRBUS,A320-232
2256,N979DL,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
2257,N709EV,BOMBARDIER INC,CL-600-2C10
2258,N78060,BOEING,767-424ER
2259,N921XJ,BOMBARDIER INC,CL-600-2D24
2260,N602LR,BOMBARDIER INC,CL-600-2D24
2261,N919XJ,BOMBARDIER INC,CL-600-2D24
2262,N909XJ,BOMBARDIER INC,CL-600-2D24
2263,N8515F,BOMBARDIER INC,CL-600-2B19
2264,N833AY,BOMBARDIER INC,CL-600-2B19
2265,N8665A,BOMBARDIER INC,CL-600-2B19
2266,N544AA,FRIEDEMANN JON,VANS AIRCRAFT RV6
2267,N678DL,BOEING,757-232
2268,N477CA,BOMBARDIER INC,CL-600-2B19
2269,N8923A,BOMBARDIER INC,CL-600-2B19
2270,N8942A,BOMBARDIER INC,CL-600-2B19
2271,N8432A,BOMBARDIER INC,CL-600-2B19
2272,N8913A,BOMBARDIER INC,CL-600-2B19
2273,N824AY,BOMBARDIER INC,CL-600-2B19
2274,N336NW,AIRBUS INDUSTRIE,A320-212
2275,N671DN,BOEING,757-232
2276,N352NW,AIRBUS INDUSTRIE,A320-212
2277,N938DL,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
2278,N370NB,AIRBUS,A319-114
2279,N11155,EMBRAER,EMB-145XR
2280,N783UA,BOEING,777-222
2281,N76064,BOEING,767-424ER
2282,N934XJ,BOMBARDIER INC,CL-600-2D24
2283,N8970D,BOMBARDIER INC,CL-600-2B19
2284,N8884E,BOMBARDIER INC,CL-600-2B19
2285,N825AY,BOMBARDIER INC,CL-600-2B19
2286,N8794B,BOMBARDIER INC,CL-600-2B19
2287,N592AS,BOEING,737-890
2288,N579JB,AIRBUS,A320-232
2289,N134EV,BOMBARDIER INC,CL-600-2D24
2290,N59053,BOEING,767-424ER
2291,N225UA,BOEING,777-222
2292,N535AS,BOEING,737-890
2293,N8932C,BOMBARDIER INC,CL-600-2B19
2294,N8631E,BOMBARDIER INC,CL-600-2B19
2295,N8938A,BOMBARDIER INC,CL-600-2B19
2296,N831AY,BOMBARDIER INC,CL-600-2B19
2297,N8836A,BOMBARDIER INC,CL-600-2B19
2298,N339NB,AIRBUS,A319-114
2299,N708EV,BOMBARDIER INC,CL-600-2C10
2300,N455SW,BOMBARDIER INC,CL-600-2B19
2301,N602XJ,BOMBARDIER INC,CL-600-2B19
2302,N8416B,BOMBARDIER INC,CL-600-2B19
2303,N8960A,BOMBARDIER INC,CL-600-2B19
2304,N583AS,BOEING,737-890
2305,N577AS,BOEING,737-890
2306,N558JB,AIRBUS,A320-232
2307,N309US,AIRBUS INDUSTRIE,A320-211
2308,N799UA,BOEING,777-222
2309,N777UA,BOEING,777-222
2310,N228UA,BOEING,777-222
2311,N903XJ,BOMBARDIER INC,CL-600-2D24
2312,N8659B,BOMBARDIER INC,CL-600-2B19
2313,N8800G,BOMBARDIER INC,CL-600-2B19
2314,N8709A,BOMBARDIER INC,CL-600-2B19
2315,N8896A,BOMBARDIER INC,CL-600-2B19
2316,N8516C,BOMBARDIER INC,CL-600-2B19
2317,N801AY,BOMBARDIER INC,CL-600-2B19
2318,N8543F,BOMBARDIER INC,CL-600-2B19
2319,N8736A,BOMBARDIER INC,CL-600-2B19
2320,N566AS,BOEING,737-890
2321,N530AS,BOEING,737-890
2322,N715JB,AIRBUS,A320-232
2323,N640JB,AIRBUS,A320-232
2324,N694DL,BOEING,757-232
2325,N901DA,MCDONNELL DOUGLAS,MD-90-30
2326,N398CA,BOMBARDIER INC,CL-600-2C10
2327,N227UA,BOEING,777-222
2328,N786UA,BOEING,777-222
2329,N789JB,AIRBUS,A320-232
2330,N672DL,BOEING,757-232
2331,N712EV,BOMBARDIER INC,CL-600-2C10
2332,N224UA,BOEING,777-222
2333,N953UW,EMBRAER,ERJ 190-100 IGW
2334,N945UW,EMBRAER,ERJ 190-100 IGW
2335,N955UW,EMBRAER,ERJ 190-100 IGW
2336,N961UW,EMBRAER,ERJ 190-100 IGW
2337,N915XJ,BOMBARDIER INC,CL-600-2D24
2338,N510JB,AIRBUS INDUSTRIE,A320-232
2339,N632JB,AIRBUS,A320-232
2340,N186PQ,BOMBARDIER INC,CL-600-2D24
2341,N946UW,EMBRAER,ERJ 190-100 IGW
2342,N742PS,AIRBUS INDUSTRIE,A319-112
2343,N951UW,EMBRAER,ERJ 190-100 IGW
2344,N767UW,AIRBUS INDUSTRIE,A319-112
2345,N659DL,BOEING,757-232
2346,N957UW,EMBRAER,ERJ 190-100 IGW
2347,N918XJ,BOMBARDIER INC,CL-600-2D24
2348,N8797A,BOMBARDIER INC,CL-600-2B19
2349,N8771A,BOMBARDIER INC,CL-600-2B19
2350,N8390A,BOMBARDIER INC,CL-600-2B19
2351,N768JB,AIRBUS,A320-232
2352,N656JB,AIRBUS,A320-232
2353,N710EV,BOMBARDIER INC,CL-600-2C10
2354,N427SW,BOMBARDIER INC,CL-600-2B19
2355,N431SW,BOMBARDIER INC,CL-600-2B19
2356,N446SW,BOMBARDIER INC,CL-600-2B19
2357,N725UW,AIRBUS INDUSTRIE,A319-112
2358,N947UW,EMBRAER,ERJ 190-100 IGW
2359,N8688C,BOMBARDIER INC,CL-600-2B19
2360,N8943A,BOMBARDIER INC,CL-600-2B19
2361,N8855A,BOMBARDIER INC,CL-600-2B19
2362,N796JB,AIRBUS,A320-232
2363,N679DA,BOEING,757-232
2364,N340NW,AIRBUS INDUSTRIE,A320-212
2365,N905DE,MCDONNELL DOUGLAS CORPORATION,MD-88
2366,N324US,AIRBUS INDUSTRIE,A320-211
2367,N748EV,BOMBARDIER INC,CL-600-2C10
2368,N788UA,BOEING,777-222
2369,N248AK,BOEING,737-990ER
2370,N288AK,BOEING,737-900ER
2371,N268AK,BOEING,737-900ER
2372,N274AK,BOEING,737-900ER
2373,N281AK,BOEING,737-900ER
2374,N264AK,BOEING,737-990ER
2375,N365VA,AIRBUS,A320-214
2376,N226NN,EMBRAER S A,ERJ 170-200 LR
2377,N244NN,EMBRAER S A,ERJ 170-200 LR
2378,N259NN,EMBRAER S A,ERJ 170-200 LR
2379,N228NN,EMBRAER S A,ERJ 170-200 LR
2380,N922AE,EMBRAER,EMB-145LR
2381,N528EG,BOMBARDIER INC,CL-600-2C10
2382,N522AE,BOMBARDIER INC,CL-600-2C10
2383,N531EG,BOMBARDIER INC,CL-600-2C10
2384,N671AE,EMBRAER,EMB-145LR
2385,N541EA,BOMBARDIER INC,CL-600-2C10
2386,N524AE,BOMBARDIER INC,CL-600-2C10
2387,N543EA,BOMBARDIER INC,CL-600-2C10
2388,N697AB,EMBRAER,EMB-145LR
2389,N688AE,EMBRAER,EMB-145LR
2390,N663AR,EMBRAER,EMB-145LR
2391,N260NN,EMBRAER S A,ERJ 170-200 LR
2392,N507AE,BOMBARDIER INC,CL-600-2C10
2393,N535EA,BOMBARDIER INC,CL-600-2C10
2394,N236NN,EMBRAER S A,ERJ 170-200 LR
2395,N249NN,EMBRAER S A,ERJ 170-200 LR
2396,N230NN,EMBRAER S A,ERJ 170-200 LR
2397,N256NN,EMBRAER S A,ERJ 170-200 LR
2398,N248NN,EMBRAER S A,ERJ 170-200 LR
2399,N693AE,EMBRAER,EMB-145LR
2400,N675AE,EMBRAER,EMB-145LR
2401,N941LT,EMBRAER,EMB-145LR
2402,N257NN,EMBRAER,ERJ 170-200 LR
2403,N238NN,EMBRAER S A,ERJ 170-200 LR
2404,N242NN,EMBRAER S A,ERJ 170-200 LR
2405,N246NN,EMBRAER S A,ERJ 170-200 LR
2406,N523AE,BOMBARDIER INC,CL-600-2C10
2407,N245NN,EMBRAER S A,ERJ 170-200 LR
2408,N255NN,EMBRAER S A,ERJ 170-200 LR
2409,N504AE,BOMBARDIER INC,CL-600-2C10
2410,N235NN,EMBRAER S A,ERJ 170-200 LR
2411,N536EA,BOMBARDIER INC,CL-600-2C10
2412,N521AE,BOMBARDIER INC,CL-600-2C10
2413,N674RJ,EMBRAER,EMB-145LR
2414,N656AE,EMBRAER,EMB-145LR
2415,N649PP,EMBRAER,EMB-145LR
2416,N520DC,BOMBARDIER INC,CL-600-2C10
2417,N542EA,BOMBARDIER INC,CL-600-2C10
2418,N261NN,EMBRAER S A,ERJ 170-200 LR
2419,N658AE,EMBRAER,EMB-145LR
2420,N237NN,EMBRAER S A,ERJ 170-200 LR
2421,N925AE,EMBRAER,EMB-145LR
2422,N673AE,EMBRAER,EMB-145LR
2423,N529EA,BOMBARDIER INC,CL-600-2C10
2424,N918AE,EMBRAER,EMB-145LR
2425,N902BC,EMBRAER,EMB-145LR
2426,N909AE,EMBRAER,EMB-145LR
2427,N232NN,EMBRAER,ERJ 170-200 LR
2428,N262NN,EMBRAER S A,ERJ 170-200 LR
2429,N253NN,EMBRAER S A,ERJ 170-200 LR
2430,N533AE,BOMBARDIER INC,CL-600-2C10
2431,N250NN,EMBRAER S A,ERJ 170-200 LR
2432,N243NN,EMBRAER S A,ERJ 170-200 LR
2433,N668HH,EMBRAER,EMB-145LR
2434,N644AE,EMBRAER,EMB-145LR
2435,N654AE,EMBRAER,EMB-145LR
2436,N653AE,EMBRAER,EMB-145LR
2437,N538EG,BOMBARDIER INC,CL-600-2C10
2438,N696AE,EMBRAER,EMB-145LR
2439,N223NN,EMBRAER S A,ERJ 170-200 LR
2440,N527EA,BOMBARDIER INC,CL-600-2C10
2441,N679AE,EMBRAER,EMB-145LR
2442,N939AE,EMBRAER,EMB-145LR
2443,N657AE,EMBRAER,EMB-145LR
2444,N664MS,EMBRAER,EMB-145LR
2445,N670AE,EMBRAER,EMB-145LR
2446,N931AE,EMBRAER,EMB-145LR
2447,N221NN,EMBRAER S A,ERJ 170-200 LR
2448,N222NS,EMBRAER,ERJ 170-200 LR
2449,N908AE,EMBRAER,EMB-145LR
2450,N646AE,EMBRAER,EMB-145LR
2451,N652RS,EMBRAER,EMB-145LR
2452,N532EA,BOMBARDIER INC,CL-600-2C10
2453,N252NN,EMBRAER S A,ERJ 170-200 LR
2454,N231AN,EMBRAER S A,ERJ 170-200 LR
2455,N506AE,BOMBARDIER INC,CL-600-2C10
2456,N677AE,EMBRAER,EMB-145LR
2457,N227NN,EMBRAER S A,ERJ 170-200 LR
2458,N234JW,EMBRAER S A,ERJ 170-200 LR
2459,N511AE,BOMBARDIER INC,CL-600-2C10
2460,N705PS,BOMBARDIER INC,CL-600-2C10
2461,N503AE,BOMBARDIER INC,CL-600-2C10
2462,N702PS,BOMBARDIER INC,CL-600-2C10
2463,N723PS,BOMBARDIER INC,CL-600-2C10
2464,N526EA,BOMBARDIER INC,CL-600-2C10
2465,N709PS,BOMBARDIER INC,CL-600-2C10
2466,N514AE,BOMBARDIER INC,CL-600-2C10
2467,N207SY,EMBRAER S A,ERJ 170-200 LR
2468,N206SY,EMBRAER S A,ERJ 170-200 LR
2469,N961SW,BOMBARDIER INC,CL-600-2B19
2470,N925EV,BOMBARDIER INC,CL-600-2B19
2471,N161SY,EMBRAER,ERJ 170-200 LR
2472,N164SY,EMBRAER,ERJ 170-200 LR
2473,N906EV,BOMBARDIER INC,CL-600-2B19
2474,N205SY,EMBRAER S A,ERJ 170-200 LR
2475,N908EV,BOMBARDIER INC,CL-600-2B19
2476,N876AS,BOMBARDIER INC,CL-600-2B19
2477,N902EV,BOMBARDIER INC,CL-600-2B19
2478,N864AS,BOMBARDIER INC,CL-600-2B19
2479,N270SY,EMBRAER S A,ERJ 170-200 LR
2480,N268SY,EMBRAER S A,ERJ 170-200 LL
2481,N264SY,EMBRAER S A,ERJ 170-200 LL
2482,N263SY,EMBRAER S A,ERJ 170-200 LL
2483,N271SY,EMBRAER S A,ERJ 170-200 LR
2484,N267SY,EMBRAER S A,ERJ 170-200 LL
2485,N907EV,BOMBARDIER INC,CL-600-2B19
2486,N866AS,BOMBARDIER INC,CL-600-2B19
2487,N905EV,BOMBARDIER INC,CL-600-2B19
2488,N901EV,BOMBARDIER INC,CL-600-2B19
2489,N208SY,EMBRAER S A,ERJ 170-200 LR
2490,N941NN,BOEING,737-823
2491,N305NX,BOEING,737-800
2492,N987NN,BOEING,737-823
2493,N821NN,BOEING,737-823
2494,N991AN,BOEING,737-823
2495,N346PR,BOEING,737-800
2496,N951NN,BOEING,737-823
2497,N126AN,AIRBUS,A321-231
2498,N816NN,BOEING,737-823
2499,N967AN,BOEING,737-823
2500,N800NN,BOEING,737-823
2501,N145AN,AIRBUS,A321-231
2502,N820NN,BOEING,737-823
2503,N978AN,BOEING,737-823
2504,N876NN,BOEING,737-823
2505,N923AN,BOEING,737-823
2506,N975AN,BOEING,737-823
2507,N981NN,BOEING,737-823
2508,N822NN,BOEING,737-823
2509,N810NN,BOEING,737-823
2510,N930NN,BOEING,737-823
2511,N842NN,BOEING,737-823
2512,N901NN,BOEING,737-823
2513,N994NN,BOEING,737-823
2514,N958AN,BOEING,737-823
2515,N860NN,BOEING,737-823
2516,N893NN,BOEING,737-823
2517,N914AN,BOEING,737-823
2518,N885NN,BOEING,737-823
2519,N875NN,BOEING,737-823
2520,N954AN,BOEING,737-823
2521,N950AN,BOEING,737-823
2522,N925NN,BOEING,737-823
2523,N872NN,BOEING,737-823
2524,N832NN,BOEING,737-823
2525,N956AN,BOEING,737-823
2526,N913AN,BOEING,737-823
2527,N858NN,BOEING,737-823
2528,N165NN,AIRBUS,A321-231
2529,N815NN,BOEING,737-823
2530,N818AW,AIRBUS INDUSTRIE,A319-132
2531,N744YX,EMBRAER S A,ERJ 170-200 LR
2532,N651RW,EMBRAER,ERJ 170-100 SE
2533,N728YX,EMBRAER S A,ERJ 170-200 LR
2534,N729YX,EMBRAER S A,ERJ 170-200 LR
2535,N752YX,EMBRAER S A,ERJ 170-200 LR
2536,N646RW,EMBRAER,ERJ 170-100 SE
2537,N742YX,EMBRAER S A,ERJ 170-200 LR
2538,N741YX,EMBRAER S A,ERJ 170-200 LR
2539,N979RP,EMBRAER,ERJ 170-100 SE
2540,N865RW,EMBRAER,ERJ 170-100 SE
2541,N648RW,EMBRAER,ERJ 170-100 SE
2542,N733YX,EMBRAER S A,ERJ 170-200 LR
2543,N722YX,EMBRAER S A,ERJ 170-200 LR
2544,N640RW,EMBRAER,ERJ 170-100 SE
2545,N724YX,EMBRAER S A,ERJ 170-200 LR
2546,N751YX,EMBRAER S A,ERJ 170-200 LR
2547,N633RW,EMBRAER,ERJ 170-100 SE
2548,N642RW,EMBRAER,ERJ 170-100 SE
2549,N731YX,EMBRAER S A,ERJ 170-200 LR
2550,N632RW,EMBRAER,ERJ 170-100 SE
2551,N732YX,EMBRAER S A,ERJ 170-200 LR
2552,N653RW,EMBRAER,ERJ 170-100 SE
2553,N649RW,EMBRAER,ERJ 170-100 SE
2554,N855RW,EMBRAER,ERJ 170-100 SE
2555,N749YX,EMBRAER,ERJ 170-200 LR
2556,N645RW,EMBRAER,ERJ 170-100 SE
2557,N631RW,EMBRAER,ERJ 170-100 SE
2558,N654RW,EMBRAER,ERJ 170-100 SE
2559,N634RW,EMBRAER,ERJ 170-100 SE
2560,N644RW,EMBRAER,ERJ 170-100 SE
2561,N745YX,EMBRAER S A,ERJ 170-200 LR
2562,N721YX,EMBRAER S A,ERJ 170-200 LR
2563,N657RW,EMBRAER,ERJ 170-100 SE
2564,N743YX,EMBRAER,ERJ 170-200 LR
2565,N748YX,EMBRAER S A,ERJ 170-200 LR
2566,N856RW,EMBRAER,ERJ 170-100 SE
2567,N750YX,EMBRAER S A,ERJ 170-200 LR
2568,N650RW,EMBRAER,ERJ 170-100 SE
2569,N858RW,EMBRAER,ERJ 170-100 SE
2570,N739YX,EMBRAER S A,ERJ 170-200 LR
2571,N736YX,EMBRAER S A,ERJ 170-200 LR
2572,N652RW,EMBRAER,ERJ 170-100 SE
2573,N740YX,EMBRAER S A,ERJ 170-200 LR
2574,N638RW,EMBRAER,ERJ 170-100 SE
2575,N656RW,EMBRAER,ERJ 170-100 SE
2576,N637RW,EMBRAER,ERJ 170-100 SE
2577,N864RW,EMBRAER,ERJ 170-100 SE
2578,N726YX,EMBRAER S A,ERJ 170-200 LR
2579,N862RW,EMBRAER,ERJ 170-100 SE
2580,N747YX,EMBRAER S A,ERJ 170-200 LR
2581,N891UA,AIRBUS,A319-132
2582,N15751,BOEING,737-71Q
2583,N894UA,AIRBUS,A319-132
2584,N78540,BOEING,737-800
2585,N38479,BOEING,737-900ER
2586,N77542,BOEING,737-800
2587,N63899,BOEING,737-900ER
2588,N79541,BOEING,737-800
2589,N66897,BOEING,737-900ER
2590,N774UA,BOEING,777-222
2591,N4888U,AIRBUS,A319-132
2592,N890UA,AIRBUS,A319-132
2593,N3749D,BOEING,737-832
2594,N133EV,BOMBARDIER INC,CL-600-2D24
2595,N341PQ,BOMBARDIER INC,CL-600-2D24
2596,N311PQ,BOMBARDIER INC,CL-600-2D24
2597,N8928A,BOMBARDIER INC,CL-600-2B19
2598,N314PQ,BOMBARDIER INC,CL-600-2D24
2599,N253AK,BOEING,737-990ER
2600,N278AK,BOEING,737-900ER
2601,N282VA,AIRBUS,A320-214
2602,N689EC,EMBRAER,EMB-145LR
2603,N900AE,EMBRAER,EMB-145LR
2604,N698CB,EMBRAER,EMB-145LR
2605,N650NK,AIRBUS,A320-232
2606,N669NK,AIRBUS,A321-231
2607,N674NK,AIRBUS,A321-231
2608,N671NK,AIRBUS,A321-231
2609,N672NK,AIRBUS,A321-231
2610,N679NK,AIRBUS,A321-231
2611,N678NK,AIRBUS,A321-231
2612,N684NK,AIRBUS,A321-231
2613,N675NK,AIRBUS,A321-231
2614,N682NK,AIRBUS,A321-231
2615,N651NK,AIRBUS,A320-232
2616,N687NK,AIRBUS,A321-231
2617,N676NK,AIRBUS,A321-231
2618,N680NK,AIRBUS,A321-231
2619,N644NK,AIRBUS,A320-232
2620,N719PS,BOMBARDIER INC,CL-600-2C10
2621,N716PS,BOMBARDIER INC,CL-600-2C10
2622,N269SY,EMBRAER S A,ERJ 170-200 LL
2623,N240SY,EMBRAER S A,ERJ 170-200 LR
2624,N870AS,BOMBARDIER INC,CL-600-2B19
2625,N903EV,BOMBARDIER INC,CL-600-2B19
2626,N933EV,BOMBARDIER INC,CL-600-2B19
2627,N168SY,EMBRAER S A,ERJ 170-200 LR
2628,N202SY,EMBRAER S A,ERJ 170-200 LR
2629,N167SY,EMBRAER S A,ERJ 170-200 LR
2630,N871AS,BOMBARDIER INC,CL-600-2B19
2631,N160SY,EMBRAER,ERJ 170-200 LR
2632,N189AN,BOEING,757-223
2633,N147AA,AIRBUS,A321-231
2634,N901AA,AIRBUS,A321-231
2635,N992AU,AIRBUS,A321-231
2636,N824NN,BOEING,737-823
2637,N122NN,AIRBUS,A321-231
2638,N155NN,AIRBUS,A321-231
2639,N119NN,AIRBUS,A321-231
2640,N959NN,BOEING,737-823
2641,N948AN,BOEING,737-823
2642,N920AN,BOEING,737-823
2643,N141NN,AIRBUS,A321-231
2644,N930AU,AIRBUS,A321-231
